dataset,n,scenario,seed,reference_arm,comparison_arm,reference_present,comparison_present,same_raw_sha256,same_canonical_sha256,status
GermanOR,50,transfer_bottleneck,41,price_cal_w0,price_cal_w0p5,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,41,price_cal_w0,price_cal_w1,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,41,price_cal_w0,price_cal_w2,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,43,price_cal_w0,price_cal_w0,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,43,price_cal_w0,price_cal_w0p25,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,43,price_cal_w0,price_cal_w0p5,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,43,price_cal_w0,price_cal_w1,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,43,price_cal_w0,price_cal_w2,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,47,price_cal_w0,price_cal_w0,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,47,price_cal_w0,price_cal_w0p25,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,47,price_cal_w0,price_cal_w0p5,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,47,price_cal_w0,price_cal_w1,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,47,price_cal_w0,price_cal_w2,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,7,price_cal_w0,price_cal_w0,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,7,price_cal_w0,price_cal_w0p25,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,7,price_cal_w0,price_cal_w0p5,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,7,price_cal_w0,price_cal_w1,1,1,True,True,ok
GermanOR,50,transfer_bottleneck,7,price_cal_w0,price_cal_w2,1,1,True,True,ok
GermanOR,70,nominal,11,price_cal_w0,price_cal_w0,1,1,True,True,ok
GermanOR,70,nominal,11,price_cal_w0,price_cal_w0p25,1,1,True,True,ok
GermanOR,70,nominal,11,price_cal_w0,price_cal_w0p5,1,1,True,True,ok
GermanOR,70,nominal,11,price_cal_w0,price_cal_w1,1,1,True,True,ok
GermanOR,70,nominal,11,price_cal_w0,price_cal_w2,1,1,True,True,ok
GermanOR,70,nominal,19,price_cal_w0,price_cal_w0,1,1,True,True,ok
GermanOR,70,nominal,19,price_cal_w0,price_cal_w0p25,1,1,True,True,ok
