dataset_family,artifact_role,source_file_name,release_relative_path,bytes,sha256,public_access_status
GermanOR,seeded_or_duration_pool,german_pool_n50_seed19.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed19.csv,6947,6d9ffbc48054cff410f5b33bc59c13ae8c09a692157ca4e1ff442f50cd4238ae,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed23.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed23.csv,6959,d8a69585d461a2b57b6112dd0f2eac7bc62553a3a6bb9dc753e9a1a102c82422,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed29.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed29.csv,6900,0f1f554ad5e1fc3839964707b81a2e2a1ad7e53f58fd0fd913169b3e82fcb8fa,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed31.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed31.csv,6944,8c5a4b44b47ce9578ecf0dac49daed34038117d6f7ded0bb0c1396b702b91e79,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed37.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed37.csv,7010,5ca8582de5da052024d84c3409254f9868ba7acfd83ba6849aa4ce46dce2b35b,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed41.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed41.csv,6998,087f8de6345de4cac055fd6d6487fe32be4b67acea7cf84e0dc08689cd088797,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed43.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed43.csv,6958,a3cf262ab87d875048f2e074d2572509f86526e509e7a13e41aed03c8901a6a7,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed47.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed47.csv,6918,edd9bec54c3ea59c6c45bc6e459c639dd165d37cdfa6d22f8e00e8eb44f12a04,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n50_seed7.csv,data/derived/frozen_calibration/GermanOR/german_pool_n50_seed7.csv,6876,fbad752a18fb4a581ae662e53d39b10b724a2b9fc38d608623b5154d4cb57b14,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed11.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed11.csv,9462,47b7618473a8e18987e981c3b53971001c04933860744ba81f4f36445597c820,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed19.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed19.csv,9512,e4294e3eed7b78385787ea6aff2147b98288392725c0c1e1a010e1ffa51a9a41,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed23.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed23.csv,9705,271257857ce62ea53a3ae9e9fec7f14691a7ff928df66d62ce3f3532bcbee833,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed29.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed29.csv,9554,9e35702f49bc4d0910b04b9e7d4994184516026737dc7d93192161e529a5c0dd,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed31.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed31.csv,9717,e05404f3a9f173adc5d2dd05021e791c05070d587dc96b4684232ad8ab56f5cb,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed37.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed37.csv,9697,450a45faaefa56b3c4354e6c7ae4538dd7d8d6c4ee6f88fd5770343c74e1f940,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed41.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed41.csv,9692,0013f27518d3d6c674f9654ae16dbe2d23d2d76ca6c55c2a332f67192b73e7d7,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed43.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed43.csv,9625,95c22e108d5d3bd9db13df2c87ddd48bcefd5561231e11607eba42e991182ff9,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed47.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed47.csv,9583,f7576ab2ebd2157aa75ff33959be6c08a6d14462d6e6a17e07b63509b5b1c270,included_cc_by_4_0_with_attribution
GermanOR,seeded_or_duration_pool,german_pool_n70_seed7.csv,data/derived/frozen_calibration/GermanOR/german_pool_n70_seed7.csv,9593,79e37b06efc45226d15d3749c7abef7ad21269f4ef5d8779d277fd5c692cdf12,included_cc_by_4_0_with_attribution
Mannino,empirical_duration_case_pool,mannino_case_pool.csv,data/restricted/Mannino/mannino_case_pool.csv,421842,8a7aba769db9fc5fc9684f00777619d2f8e868c02190ea5ef563f1a9b70f1907,hash_only_not_redistributed_pending_explicit_permission
Mannino,duration_calibration_summary,mannino_duration_stats.json,data/restricted/Mannino/mannino_duration_stats.json,3103,150cfb83c81c5dbd6099f4ce2975fc64cbea85ea207d6ad4159d00ee6f40c406,hash_only_not_redistributed_pending_explicit_permission
Mannino,duration_calibration_summary,mannino_duration_summary.csv,data/restricted/Mannino/mannino_duration_summary.csv,1294,0aade954ad110571db4a1a8d41aa48cb206513b508cdf2f500463b88a52a181e,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed11.csv,data/restricted/Mannino/mannino_pool_n100_seed11.csv,3337,a1fe7af3f67956ad94f9fb5b22c11d62993f3d5a55455ec6e0cce7fab7381612,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed19.csv,data/restricted/Mannino/mannino_pool_n100_seed19.csv,3324,5e331a2be29734425d402e6175f2438c17e6b4afd8ffb14bc36172c01ede5af3,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed23.csv,data/restricted/Mannino/mannino_pool_n100_seed23.csv,3323,5939da4ff8e6a6eec5365966c6894a93a431c29d277635d5fea593ec4044a038,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed29.csv,data/restricted/Mannino/mannino_pool_n100_seed29.csv,3320,6250aa1e90fdf9c4cb05ee5682b61719862fd5a1c9d418baa2e3844744c01744,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed31.csv,data/restricted/Mannino/mannino_pool_n100_seed31.csv,3314,65e7e41d0b2681b69a388aef43d5001b97911de35c579d5d781e2e8e5279005a,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed37.csv,data/restricted/Mannino/mannino_pool_n100_seed37.csv,3331,3d71244a747204ccd2abf0855e7f808aeb3191a1cdb7def286179ac1f996fc79,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed41.csv,data/restricted/Mannino/mannino_pool_n100_seed41.csv,3318,43670481ebd193b46bb6bf19cebd5b8b71cc7889ba5922711cfd072ab60d682a,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed43.csv,data/restricted/Mannino/mannino_pool_n100_seed43.csv,3335,b0554d8d2f16e3d1609bbe2dc5d8597a4eccda649c44bacb36e08ddbae061905,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed47.csv,data/restricted/Mannino/mannino_pool_n100_seed47.csv,3327,cb2f70ddd1a1954f8db89b34daa7e5a643777b2c00ef27e4270225fd1102d0e8,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n100_seed7.csv,data/restricted/Mannino/mannino_pool_n100_seed7.csv,3321,125e68400dd00a8774d3f26281079b86da8a3ade3125358b22ee4abf7cbf7810,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed11.csv,data/restricted/Mannino/mannino_pool_n150_seed11.csv,4955,30fd88b63ba184fd9aaaea273b1075cfee75c4e6ade40e98d95a22d797843ffd,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed19.csv,data/restricted/Mannino/mannino_pool_n150_seed19.csv,4941,e99e47f81c0cc54566fea21700aac939a88e11a9fc41464818dbe39fe824f5f5,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed23.csv,data/restricted/Mannino/mannino_pool_n150_seed23.csv,4947,c8504edfb9971c82cf399c04b63ffd508c120a61ee880346a564c350fe2109f3,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed29.csv,data/restricted/Mannino/mannino_pool_n150_seed29.csv,4917,fc90939aad8701fc2437e8084ebed9c5563265d9cc116d1fc37db3ccc5f04f8a,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed31.csv,data/restricted/Mannino/mannino_pool_n150_seed31.csv,4920,d447dd965ef51bce5c98a5f9852435e3807c956a6240f329dce1f46be2eb4382,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed37.csv,data/restricted/Mannino/mannino_pool_n150_seed37.csv,4942,839ff4d07ed8df079fb1d532071924c61f7cfc9bea697bfd491332b4b01121a5,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed41.csv,data/restricted/Mannino/mannino_pool_n150_seed41.csv,4946,0a58ca650d8d4be9bb29439f1f9f3a4ce98c94f91e536f67b2ac4866bb82997f,hash_only_not_redistributed_pending_explicit_permission
Mannino,seeded_or_duration_pool,mannino_pool_n150_seed43.csv,data/restricted/Mannino/mannino_pool_n150_seed43.csv,4937,848799acd97a58b855e55229f0a5beb29e85ce9a4a149c6cbb0888f2dc5fd1a6,hash_only_not_redistributed_pending_explicit_permission
