dataset_family,artifact_role,source_file_name,expected_release_path_if_authorized,bytes,sha256,public_access_status
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed11.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed11.csv,1690,4b3bee061b3d8ec1199044c527a2d7528bde14c0d7138c96eec3a5733a253da6,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed19.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed19.csv,1702,0b5022709ee07ef799b47fed9f5473fe7030571fcb6675163e207006b855900a,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed23.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed23.csv,1698,f7d1176510a6ffc360cb25b6662194590e8c33b4c08356ece2cf03b87c9ddcb9,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed29.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed29.csv,1710,2d851646effbd617dc69ddc9bd178f9b69ab42a11a9ab939622ccb352009c039,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed31.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed31.csv,1692,1bcfbd362fc1a7f44b0ad9e4bcec73ac0cef8152f36e295fa7619c230fa30cf4,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed37.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed37.csv,1709,542c3220f1c976a360f06d62cc92700eee5149558e252d2f0f4a985292d530bd,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed41.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed41.csv,1698,9381abc7b87d5bf65edf01aefa98cd73e0d0ab8d961bf1beaa895a75ddf44ceb,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed43.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed43.csv,1707,34cacd46c5e6f6ac317dde65c9c2f0228b37beb0a8f8c123bfb4cb618f1befb4,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed47.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed47.csv,1708,d9db1b735a91ac3eb6239ae8a8b7609afbfab3020ae39910a86c45262c15290a,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n50_seed7.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n50_seed7.csv,1697,cefcd8bfd5b9801ad062ab9edce12c3234b5656ea13974230be7683809590ab3,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed11.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed11.csv,2332,3c100805fa639fb1d2bf45da878077ea928af731ad6fbcf33b00ac024130c236,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed19.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed19.csv,2339,75adce5118395dd7b0db49fc6dc0c8195bb61160a4f235245eda7e86846a9412,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed23.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed23.csv,2348,3c514e7cef33566b3e9ed297298ac4c38d286da7dc289c0f625fb6479e50205e,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed29.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed29.csv,2346,e803b12ca1d16c533d03eed5984879dd99a40ead11a235a6bcda21f1f9e3c972,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed31.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed31.csv,2341,7b50a869a335db6e809bea28df31e54ae0a2c9e3057fd92a3618467111fe2eed,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed37.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed37.csv,2351,1960df45acb7ff1673d458b87a1b8ba8da8bb1bccede8a55889c19313798a930,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed41.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed41.csv,2348,6111cc14e26b68885561aa4892583b6252c8756c7ff551148e1dc96737cf919f,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed43.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed43.csv,2367,3ad15cf2205ccfee593aebb5cf3091a1f4627f7e7d5abaaef07cb41d7344f282,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed47.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed47.csv,2350,67f4996d0cd6ca4e8530e6a714178262fd39f73571ccaa209f228b1c9812fb4e,not_redistributed_pending_explicit_provider_permission
Mannino,seeded_or_duration_pool,mannino_pool_n70_seed7.csv,data/derived/frozen_calibration/Mannino/mannino_pool_n70_seed7.csv,2332,e1cb8f53eb9aa4186c5f7147691a5ea1251f000005b26469a4a80b5eb3be2921,not_redistributed_pending_explicit_provider_permission
