dataset,n,scenario,seed,gap,gap_component__exact_high_deficit,base_exact_high_deficit,treatment_exact_high_deficit,gap_component__exact_volume_deficit,base_exact_volume_deficit,treatment_exact_volume_deficit,gap_component__exact_volume_excess,base_exact_volume_excess,treatment_exact_volume_excess,gap_component__exact_violation,base_exact_violation,treatment_exact_violation,gap_component__exact_blocked,base_exact_blocked,treatment_exact_blocked,gap_component__exact_ward_excess,base_exact_ward_excess,treatment_exact_ward_excess,gap_component__exact_peak,base_exact_peak,treatment_exact_peak,gap_component__exact_icu_excess,base_exact_icu_excess,treatment_exact_icu_excess,gap_component__exact_overtime,base_exact_overtime,treatment_exact_overtime,delta_blocked,delta_peak,delta_icu_excess,delta_viol,extra_high_missed_by_A,raw_base_components_available,raw_treatment_components_available,dominant_component,dominant_component_value,tail_class
Synthetic,100,transfer_bottleneck,11,6649.919999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18000.0,56.0,60.0,16000.0,148.0,132.0,0.0,9.0,9.0,5400.0,35.0,29.0,4250.0,177.0,160.0,-1000.08,1348.49,1473.5,16.0,6.0,17.0,4.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,-18000.0,middle
Synthetic,100,transfer_bottleneck,19,67702.64000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0,105.0,106.0,53000.0,172.0,119.0,0.0,4.0,4.0,10800.0,34.0,22.0,8500.0,248.0,214.0,-97.35999999999969,655.94,668.11,53.0,12.0,34.0,1.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,53000.0,middle
Synthetic,100,transfer_bottleneck,23,73985.43999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,124.0,116.0,27000.0,171.0,144.0,0.0,22.0,22.0,6300.0,43.0,36.0,4500.0,215.0,197.0,185.44000000000003,441.01,417.83,27.0,7.0,18.0,-8.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,36000.0,middle
Synthetic,100,transfer_bottleneck,29,-1449.6799999999348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45000.0,93.0,103.0,30000.0,136.0,106.0,2500.0,12.0,11.0,5400.0,34.0,28.0,6250.0,188.0,163.0,-599.68,78.05,153.01,30.0,6.0,25.0,10.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,-45000.0,middle
Synthetic,100,transfer_bottleneck,31,-39218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76500.0,72.0,89.0,27000.0,141.0,114.0,2500.0,3.0,2.0,10800.0,37.0,25.0,2500.0,204.0,194.0,-5518.0,2.93,692.68,27.0,12.0,10.0,17.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,-76500.0,catastrophic_loser
Synthetic,100,transfer_bottleneck,37,15675.679999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0,72.0,73.0,17000.0,159.0,142.0,-2500.0,9.0,10.0,2700.0,38.0,35.0,3750.0,223.0,208.0,-774.3199999999997,1412.04,1508.83,17.0,3.0,15.0,1.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_blocked,17000.0,middle
Synthetic,100,transfer_bottleneck,41,290138.31999999983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,220500.0,138.0,89.0,39000.0,151.0,112.0,12500.0,11.0,6.0,9000.0,34.0,24.0,9000.0,196.0,160.0,138.32,35.79,18.5,39.0,10.0,36.0,-49.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,220500.0,big_winner
Synthetic,100,transfer_bottleneck,43,-155913.76000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-211500.0,152.0,199.0,33000.0,158.0,125.0,10000.0,5.0,1.0,2700.0,35.0,32.0,10500.0,198.0,156.0,-613.76,3.42,80.14,33.0,3.0,42.0,47.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,-211500.0,catastrophic_loser
Synthetic,100,transfer_bottleneck,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,213.0,213.0,0.0,1328.02,1328.02,0.0,0.0,0.0,0.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_high_deficit,0.0,middle
Synthetic,100,transfer_bottleneck,7,852.1599999999162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9000.0,67.0,69.0,8000.0,142.0,134.0,0.0,3.0,3.0,2700.0,30.0,27.0,2250.0,200.0,191.0,-3097.84,1335.9,1723.13,8.0,3.0,9.0,2.0,0.0,"exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess","exact_blocked,exact_high_deficit,exact_icu_excess,exact_overtime,exact_peak,exact_violation,exact_volume_deficit,exact_volume_excess,exact_ward_excess",exact_violation,-9000.0,middle
