dataset,n,component,seed_clusters,median_score_contribution,mean_score_contribution,q25_score_contribution,q75_score_contribution,min_score_contribution,max_score_contribution
Mannino,150,Peak transfer blocking,10,5625.0,6165.0,3712.5,8550.0,-900.0,14400.0
Mannino,150,ICU excess,10,3000.0,3575.0,1187.5,5125.0,0.0,9000.0
Mannino,150,Ward excess,10,-2500.0,-3875.0,-5937.5,2500.0,-23750.0,11250.0
Mannino,150,Execution violations,10,87750.0,69075.0,6750.0,114187.5,-33750.0,159750.0
Mannino,150,OR overtime,10,3730.48,2422.9759999999997,529.55,3940.16,-1608.56,4290.5599999999995
Synthetic,50,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,50,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,50,Blocked transfers,10,0.0,50.0,0.0,1375.0,-5500.0,3000.0
Synthetic,50,Peak transfer blocking,10,0.0,180.0,0.0,0.0,-900.0,1800.0
Synthetic,50,ICU excess,10,0.0,-37.5,0.0,375.0,-1750.0,1000.0
Synthetic,50,Ward excess,10,0.0,-500.0,0.0,0.0,-8750.0,3750.0
Synthetic,50,Execution violations,10,-1125.0,-1800.0,-3937.5,0.0,-9000.0,9000.0
Synthetic,50,OR overtime,10,98.74,-312.80800000000005,-314.0099999999999,353.1899999999999,-2758.32,423.5600000000002
Synthetic,70,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,70,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,70,Blocked transfers,10,3750.0,6050.0,750.0,11875.0,-4000.0,18500.0
Synthetic,70,Peak transfer blocking,10,900.0,1125.0,450.0,2137.5,-1800.0,4050.0
Synthetic,70,ICU excess,10,1000.0,1200.0,125.0,1875.0,-625.0,3500.0
Synthetic,70,Ward excess,10,0.0,250.0,0.0,0.0,-1250.0,2500.0
Synthetic,70,Execution violations,10,-5625.0,-10350.0,-19125.0,-562.5,-36000.0,6750.0
Synthetic,70,OR overtime,10,-230.67999999999984,-222.016,-495.6599999999994,657.4699999999996,-4560.12,2075.0
Synthetic,100,High-priority access deficit,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,100,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,100,Blocked transfers,10,25500.0,26350.0,23250.0,34375.0,-1000.0,48500.0
Synthetic,100,Peak transfer blocking,10,5625.0,5220.0,3262.5,7312.5,-900.0,10350.0
Synthetic,100,ICU excess,10,4687.5,5000.0,2656.25,7125.0,125.0,11750.0
Synthetic,100,Ward excess,10,625.0,3000.0,0.0,5000.0,-1250.0,11250.0
Synthetic,100,Execution violations,10,-11250.0,1125.0,-17437.5,0.0,-105750.0,207000.0
Synthetic,100,OR overtime,10,-542.1999999999998,-1089.5919999999999,-1411.5500000000002,-118.64999999999988,-4181.24,435.4000000000002
Synthetic,150,High-priority access deficit,10,0.0,675000.0,-562500.0,1125000.0,-5250000.0,9750000.0
Synthetic,150,Volume mismatch,10,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic,150,Blocked transfers,10,53250.0,57000.0,43500.0,73250.0,34500.0,78500.0
Synthetic,150,Peak transfer blocking,10,9900.0,10170.0,8325.0,12150.0,5850.0,14400.0
Synthetic,150,ICU excess,10,12750.0,13725.0,10906.25,16843.75,8500.0,20875.0
Synthetic,150,Ward excess,10,0.0,1000.0,-937.5,1250.0,-3750.0,12500.0
Synthetic,150,Execution violations,10,-47250.0,-60975.0,-138375.0,47812.5,-506250.0,263250.0
Synthetic,150,OR overtime,10,-156.38,-87.34799999999998,-794.4499999999999,380.43,-2136.96,1907.1599999999999
