dataset,n,scenario,seed,gap,source_file,gap_col_used
GermanOR,100,nominal,29,-188260.248,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,nominal,31,2500.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,nominal,37,-176250.00000000006,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,nominal,41,5000.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,nominal,43,11150.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,nominal,47,-11150.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,7,15800.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,11,-750.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,19,31050.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,23,1800.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,29,-100650.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,31,0.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,37,-185250.0000000001,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,41,900.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,43,0.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,100,transfer_bottleneck,47,-3900.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,7,153070.25600000005,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,11,28050.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,19,155000.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,23,170450.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,29,98863.34400000004,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,31,110726.576,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,37,145490.984,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,41,115878.76,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,43,194906.84,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,nominal,47,101022.82400000002,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,7,186762.31200000003,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,11,23650.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,19,234649.37600000005,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,23,168755.68000000005,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,29,207879.096,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,31,120213.14399999996,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,37,180202.664,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,41,107477.00800000005,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,43,152550.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
GermanOR,150,transfer_bottleneck,47,53150.0,after_clean_gate_attribution\A_effect_w0_vs_clean_detailed.csv,A_gap_clean_minus_w0
